title,author,category,rating,price,year
The Great Gatsby,F. Scott Fitzgerald,Fiction,4.5,12.99,1925
1984,George Orwell,Fiction,4.8,10.99,1949
To Kill a Mockingbird,Harper Lee,Fiction,4.7,14.99,1960
The Hobbit,J.R.R. Tolkien,Fantasy,4.8,18.99,1937
Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,4.9,22.99,1997
The Da Vinci Code,Dan Brown,Mystery,4.2,15.99,2003
The Silent Patient,Alex Michaelides,Thriller,4.4,16.99,2019
Atomic Habits,James Clear,Self Help,4.8,19.99,2018
The Alchemist,Paulo Coelho,Fiction,4.6,13.99,1988
Becoming,Michelle Obama,Biography,4.7,21.99,2018
Educated,Tara Westover,Biography,4.7,17.99,2018
Sapiens,Yuval Noah Harari,History,4.6,24.99,2011
A Brief History of Time,Stephen Hawking,Science,4.5,20.99,1988
The Psychology of Money,Morgan Housel,Finance,4.7,18.99,2020
Rich Dad Poor Dad,Robert Kiyosaki,Finance,4.4,11.99,1997
Dune,Frank Herbert,Science Fiction,4.7,19.99,1965
The Martian,Andy Weir,Science Fiction,4.6,15.99,2011
Pride and Prejudice,Jane Austen,Romance,4.8,9.99,1813
The Book Thief,Markus Zusak,Historical Fiction,4.6,14.99,2005
It Ends with Us,Colleen Hoover,Romance,4.5,16.99,2016
